N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
1500 750 947 267 1214 907 592 1499 929 1044 1973 1036 1278 2314
1500 500 841 263 1104 799 407 1206 815 707 1522 792 921 1713
1500 375 806 264 1070 742 311 1053 739 525 1264 709 749 1458
1500 300 759 263 1022 712 249 961 707 421 1128 610 633 1243
1500 214 704 264 968 670 183 853 669 303 972 565 510 1075
1500 187 688 266 954 665 164 829 678 275 953 532 457 989
1500 150 674 266 940 642 133 775 645 217 862 489 404 893
1500 115 663 266 929 628 103 731 704 218 922 459 330 789
1500 88 645 268 913 634 84 718 613 129 742 477 281 758
1500 71 635 267 902 606 66 672 606 106 712 481 266 747
1500 55 665 275 940 609 56 665 609 86 695 443 250 693
1500 44 634 280 914 605 48 653 592 73 665 447 234 681
1500 36 647 265 912 608 42 650 612 61 673 465 211 676
1500 27 624 272 896 592 33 625 591 47 638 448 188 636
