S   C   INIT_NEW   DYN_NEW   TOT_NEW   INIT_OLD   DYN_OLD   TOT_OLD
100 50 601 5 606 365 16 381
200 100 1419 18 1437 950 68 1018
300 150 2496 59 2555 1684 178 1862
400 200 3913 112 4025 2742 358 3100
500 250 5176 189 5365 3820 541 4361
600 300 6802 253 7055 5081 844 5925
700 350 8949 397 9346 6362 1163 7525
800 400 10145 509 10654 7848 1393 9241
900 450 12116 583 12699 9394 1789 11183
1000 500 13161 716 13877 9936 2246 12182
1100 550 13449 868 14317 11762 2739 14501
1200 600 14400 1025 15425 13180 3305 16485
1300 650 16335 1186 17521 15296 3932 19228
1400 700 19002 1352 20354 17224 4649 21873
1500 750 20445 1541 21986 19099 5305 24404
1600 800 23081 1769 24850 22279 6232 28511
1700 850 26337 1972 28309 24046 7015 31061
1800 900 27405 2211 29616 26425 7708 34133
1900 950 30665 2489 33154 28892 8928 37820
2000 1000 32735 2713 35448 31173 10098 41271
