S   C   INIT_NEW   DYN_NEW   TOT_NEW   INIT_OLD   DYN_OLD   TOT_OLD
100 20 576 5 581 330 7 337
200 40 1295 18 1313 790 27 817
300 60 2336 59 2395 1363 60 1423
400 80 3429 111 3540 2169 123 2292
500 100 4386 175 4561 2890 212 3102
600 120 6075 251 6326 3799 324 4123
700 140 7417 342 7759 4560 450 5010
800 160 8255 576 8831 5469 584 6053
900 180 10428 580 11008 6842 727 7569
1000 200 10726 715 11441 6759 904 7663
1100 220 10548 870 11418 7369 1088 8457
1200 240 10846 1016 11862 8110 1302 9412
1300 260 12457 1191 13648 9576 1534 11110
1400 280 14713 1352 16065 10881 1764 12645
1500 300 15704 1545 17249 11583 2062 13645
1600 320 17371 1766 19137 13435 2322 15757
1700 340 19752 1984 21736 14326 2677 17003
1800 360 20271 2211 22482 16107 2993 19100
1900 380 23117 2470 25587 17939 3371 21310
2000 400 23880 2727 26607 18637 3972 22609
