N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
1500 750 1209 12608 13817 1171 12515 13686 1183 46853 48036 1386 56408 57794
1500 500 1065 12772 13837 1022 8163 9185 1021 31401 32422 1001 36824 37825
1500 375 992 12749 13741 947 6177 7124 960 23716 24676 915 27833 28748
1500 300 947 12746 13693 903 4757 5660 901 19067 19968 892 22472 23364
1500 214 896 12778 13674 851 3496 4347 865 13771 14636 779 16486 17265
1500 187 880 12820 13700 834 3203 4037 834 12134 12968 721 13905 14626
1500 150 857 12756 13613 813 2683 3496 811 9841 10652 616 10925 11541
1500 115 838 12783 13621 791 2231 3022 790 7706 8496 623 7901 8524
1500 88 821 12729 13550 775 2110 2885 774 6053 6827 628 5201 5829
1500 71 810 12661 13471 774 1678 2452 766 5003 5769 592 4144 4736
1500 55 800 12608 13408 755 1504 2259 783 4016 4799 580 3326 3906
1500 44 794 12634 13428 759 1286 2045 747 3355 4102 592 2799 3391
1500 36 788 12661 13449 742 1188 1930 742 2857 3599 557 2422 2979
1500 27 783 12618 13401 738 1080 1818 738 2280 3018 593 2000 2593
