N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
1000 500 607 1848 2455 601 1660 2261 627 7175 7802 656 8137 8793
1000 333 521 1773 2294 503 1137 1640 527 4812 5339 542 5474 6016
1000 250 477 1761 2238 453 860 1313 477 3538 4015 486 3961 4447
1000 200 452 1750 2202 423 701 1124 447 2853 3300 444 3016 3460
1000 166 432 1746 2178 404 607 1011 426 2352 2778 424 2395 2819
1000 142 420 1725 2145 390 534 924 412 1998 2410 408 1895 2303
1000 125 410 1789 2199 379 532 911 402 1909 2311 401 1698 2099
1000 111 403 1828 2231 371 496 867 393 1734 2127 390 1470 1860
1000 100 397 1829 2226 364 441 805 387 1529 1916 391 1223 1614
1000 83 388 1780 2168 354 460 814 384 1271 1655 372 985 1357
1000 71 381 2222 2603 347 449 796 370 1381 1751 389 1068 1457
1000 62 377 1739 2116 342 317 659 365 966 1331 361 744 1105
1000 55 374 2278 2652 338 380 718 360 1077 1437 357 838 1195
1000 50 370 2598 2968 335 415 750 357 1136 1493 349 872 1221
1000 41 365 2438 2803 337 346 683 352 900 1252 348 697 1045
1000 35 362 2214 2576 326 289 615 348 721 1069 346 560 906
1000 29 359 3011 3370 322 379 701 345 835 1180 341 658 999
1000 25 357 8208 8565 320 967 1287 396 2053 2449 338 1629 1967
1000 20 354 8310 8664 317 886 1203 339 1751 2090 337 1389 1726
1000 17 352 8265 8617 315 880 1195 337 1564 1901 343 1252 1595
