N   C   INIT_HC   DYN_HC   TOT_HC   INIT_LC   DYN_LC   TOT_LC   INIT_VLC   DYN_VLC   TOT_VLC   INIT_OLD   DYN_OLD   TOT_OLD
1500 750 1048 14609 15657 1013 12212 13225 1011 40462 41473 1197 56014 57211
1500 500 922 14500 15422 882 7409 8291 889 27103 27992 965 36528 37493
1500 375 859 14718 15577 818 5054 5872 816 20412 21228 818 27751 28569
1500 300 820 14723 15543 778 3965 4743 777 16424 17201 725 22023 22748
1500 214 776 14566 15342 734 3005 3739 732 11888 12620 618 15598 16216
1500 187 761 14617 15378 719 2778 3497 718 10457 11175 604 13335 13939
1500 150 744 14798 15542 702 2323 3025 705 8490 9195 535 10089 10624
1500 115 725 14715 15440 682 1917 2599 685 6658 7343 527 6867 7394
1500 88 712 14695 15407 669 1806 2475 667 5217 5884 557 4619 5176
1500 71 703 14586 15289 659 1448 2107 657 4333 4990 576 3571 4147
1500 55 694 14704 15398 651 1262 1913 649 3479 4128 472 2838 3310
1500 44 698 14496 15194 646 1131 1777 643 2877 3520 491 2394 2885
1500 36 685 14619 15304 641 1037 1678 638 2457 3095 496 2061 2557
1500 27 681 14766 15447 637 936 1573 634 1981 2615 520 1698 2218
